0.0	0.0
0.1046	0.1834
0.1326	0.2377
0.1449	0.251
0.1546	0.2633
0.1675	0.2838
0.1757	0.2977
0.1831	0.3142
0.1876	0.3312
0.1909	0.3451
0.2036	0.3602
0.2045	0.3808
0.2167	0.4071
0.2202	0.4181
0.2296	0.442
0.2396	0.4668
0.2369	0.4753
0.244	0.4898
0.2382	0.508
0.2522	0.5313
0.2458	0.5389
0.2615	0.5673
0.2659	0.5719
0.2657	0.5971
0.2706	0.6083
0.2681	0.6358
0.2734	0.6406
0.284	0.6575
0.2797	0.6705
0.2807	0.6983
0.2849	0.694
0.2952	0.7045
0.2922	0.7085
0.2977	0.7273
0.302	0.7384
0.3069	0.7484
0.3029	0.7568
0.3046	0.7597
0.3187	0.7708
0.3134	0.7743
0.326	0.7879
0.3299	0.7988
0.3262	0.7961
0.3206	0.8011
0.3248	0.8079
0.344	0.8136
0.3406	0.8137
0.3412	0.8215
0.3403	0.8165
0.3507	0.8311
