0.0	0.0
0.099	0.393
0.1679	0.556
0.2395	0.6699
0.3005	0.7413
0.3482	0.7922
0.3961	0.8202
0.4353	0.8535
0.4644	0.8738
0.4922	0.8938
0.5175	0.9129
0.5374	0.9193
0.555	0.9308
0.5781	0.938
0.593	0.9416
0.6081	0.948
0.6116	0.9526
0.6155	0.9609
0.6271	0.9626
0.6309	0.9649
0.6486	0.9684
0.6585	0.9705
0.6618	0.9727
0.6724	0.9782
0.6741	0.9768
0.6742	0.976
0.6818	0.98
0.685	0.981
0.6991	0.9805
0.6933	0.9853
0.7058	0.9846
0.7053	0.9836
0.7174	0.9858
0.7258	0.988
0.7201	0.9861
0.7271	0.9878
0.7174	0.9882
0.7268	0.9886
0.727	0.991
0.7284	0.9901
0.7355	0.9908
0.7355	0.9914
0.743	0.9905
0.7424	0.9931
0.7497	0.9942
0.746	0.9936
0.7567	0.994
0.7554	0.9956
0.7616	0.9951
0.7604	0.9954
